Date,High,Low,Open,Close,Volume,Adj Close
2015-09-21,66.4000015258789,62.959999084472656,65.37999725341797,63.900001525878906,22355100,63.900001525878906
2015-09-22,63.27000045776367,61.58000183105469,62.939998626708984,61.900001525878906,14897900,61.900001525878906
2015-09-23,62.29999923706055,59.68000030517578,61.959999084472656,60.0,22684600,60.0
2015-09-24,60.34000015258789,58.209999084472656,59.41999816894531,59.91999816894531,20645700,59.91999816894531
2015-09-25,60.84000015258789,58.91999816894531,60.630001068115234,59.2400016784668,17009100,59.2400016784668
2015-09-28,60.119998931884766,57.314998626708984,58.810001373291016,57.38999938964844,20661600,57.38999938964844
2015-09-29,58.650001525878906,57.20000076293945,57.29999923706055,57.81999969482422,16771000,57.81999969482422
2015-09-30,60.08000183105469,58.349998474121094,58.869998931884766,58.970001220703125,16767100,58.970001220703125
2015-10-01,59.83000183105469,58.22999954223633,59.5,58.869998931884766,8147700,58.869998931884766
2015-10-02,63.2400016784668,58.20000076293945,58.36000061035156,63.20000076293945,22356300,63.20000076293945
2015-10-05,64.7750015258789,62.20000076293945,63.470001220703125,63.93000030517578,13583500,63.93000030517578
2015-10-06,64.7300033569336,63.279998779296875,63.720001220703125,63.91999816894531,9620900,63.91999816894531
2015-10-07,66.66000366210938,64.37999725341797,64.83999633789062,66.27999877929688,15770100,66.27999877929688
2015-10-08,68.41000366210938,65.95999908447266,66.04000091552734,67.69999694824219,18667500,67.69999694824219
2015-10-09,69.44999694824219,67.30999755859375,67.69999694824219,68.70999908447266,14762900,68.70999908447266
2015-10-12,70.47000122070312,69.0,69.63999938964844,70.30000305175781,15549100,70.30000305175781
2015-10-13,70.31999969482422,68.37999725341797,69.48999786376953,69.68000030517578,13052800,69.68000030517578
2015-10-14,69.69999694824219,67.42500305175781,69.5,68.54000091552734,12286100,68.54000091552734
2015-10-15,72.44000244140625,69.26000213623047,69.33999633789062,71.77999877929688,18203000,71.77999877929688
2015-10-16,73.63999938964844,71.20999908447266,72.5,71.98999786376953,15953500,71.98999786376953
